znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Mitsubishi,Carisma,1997,262000,bencinski motor,1597,ročni menjalnik,150,"(23, 1)"
Peugeot,207,2008,157510,diesel motor,1398,ročni menjalnik,3200,"(23, 1)"
Volkswagen,Touran,2013,161000,diesel motor,1598,ročni menjalnik,10390,"(23, 1)"
Peugeot,308,2011,172114,diesel motor,1560,ročni menjalnik,4990,"(23, 1)"
Škoda,Octavia,2013,77000,bencinski motor,1197,ročni menjalnik,10300,"(23, 1)"
Opel,Insignia,2009,148255,diesel motor,1956,ročni menjalnik,5999,"(23, 1)"
Volkswagen,Golf,2011,344523,diesel motor,1598,ročni menjalnik,4999,"(23, 1)"
Fiat,Punto,2006,157725,bencinski motor,1242,ročni menjalnik,1399,"(23, 1)"
Kia,CeeD,2010,117000,bencinski motor,1396,ročni menjalnik,4399,"(23, 1)"
Citroen,C4,2009,206000,diesel motor,1560,avtomatski menjalnik,3999,"(23, 1)"
BMW,Serija 5,2003,141770,bencinski motor,2494,ročni menjalnik,5999,"(23, 1)"
Audi,A6,2010,244000,diesel motor,2967,avtomatski menjalnik,11650,"(23, 1)"
BMW,Serija X1,2010,166057,diesel motor,1995,ročni menjalnik,11990,"(23, 1)"
Renault,Megane,2001,279000,bencinski motor,1598,ročni menjalnik,599,"(23, 1)"
Volkswagen,Passat,2015,125875,diesel motor,1968,avtomatski menjalnik,19390,"(23, 1)"
Renault,Clio,1999,102000,bencinski motor,1149,ročni menjalnik,790,"(23, 1)"
Renault,Megane,2005,190000,diesel motor,1461,ročni menjalnik,550,"(23, 1)"
Renault,Laguna,2007,109300,bencinski motor,1998,ročni menjalnik,2900,"(23, 1)"
Renault,Scenic,2009,154000,diesel motor,1461,ročni menjalnik,4500,"(23, 1)"
Škoda,Octavia,2012,161000,diesel motor,1968,ročni menjalnik,3600,"(23, 1)"
Opel,Astra,2009,188000,diesel motor,1686,ročni menjalnik,4199,"(23, 1)"
Mercedes-Benz,E-Razred,2015,138378,diesel motor,2143,avtomatski menjalnik,25880,"(23, 1)"
BMW,Serija 5,2014,160000,diesel motor,1995,avtomatski menjalnik,20880,"(23, 1)"
Volkswagen,Touran,2016,130000,diesel motor,1968,avtomatski menjalnik,7600,"(23, 1)"
Škoda,Octavia,2016,148893,diesel motor,1598,ročni menjalnik,11990,"(23, 1)"
Volkswagen,Golf,2011,176593,diesel motor,1598,ročni menjalnik,8900,"(23, 1)"
Renault,Megane,2004,280000,diesel motor,1870,ročni menjalnik,800,"(23, 1)"
Peugeot,RCZ,2013,174000,diesel motor,1997,ročni menjalnik,13990,"(23, 1)"
